merchant_name,review_text,transaction_amount,merchant_location,merchant_category,fraudulent
www.amazon.com,I order quite a lot from amazon it always gets delayed...,,Unknown,General Retail,False
www.amazon.com,I bought a GoTrax R1 e-bike March 4th of 2024 The display and switch went bad of contacted GoTrax an...,599.0,Unknown,General Retail,True
www.amazon.com,Amazon has let one of their suppliers make false orders on my account totaling to £750 over night . ...,750.0,Unknown,General Retail,True
www.amazon.com,"I have been a loyal Amazon customer for years and purchase not only small ticket items, but large ti...",,Unknown,Home Goods,False
www.amazon.com,"For the love of God, why can they not follow the delivery instructions? Every time they leave the pa...",,Plain,General Retail,True
www.amazon.com,Why oh why does Amazon allow Market Place sellers to advertise next day delivery when their courier ...,,Unknown,General Retail,False
www.amazon.com,Been ordering off amazon for several years now and spent a lot of money on amazon. Ordered tv bracke...,,Unknown,Electronics,False
www.amazon.com,Amazon keeps changing the rules in its favor. I have Prime for years now. Why I don't know anymore i...,,Unknown,Electronics,False
www.amazon.com,"My view of Amazon is mixed. Convenient, secure, easy searches. However, Amazon will not accept hones...",,Unknown,General Retail,False
www.amazon.com,In mid-February I purchased a DeLonghi Magnifica Next coffee machine from Amazon.  My trustworthy Ne...,500.0,Alarm,General Retail,False
www.amazon.com,Had 2 orders 1 was same day and the 2nd next day. They botched both! The next day was the most expen...,,Unknown,General Retail,False
www.amazon.com,Amazon has one of the most absurd and frustrating account systems I have ever experienced. For years...,,Unknown,General Retail,False
www.amazon.com,Do not order from amazon  there take money out  bank with out you nothing   there took 137  pounds  ...,,Unknown,General Retail,False
www.amazon.com,Need companies with ai and easy to understand. Don't have experience at all...,,Unknown,General Retail,False
www.amazon.com,Used to be good but not anymore. They email you and say an item has been dispatched when it's  actua...,,Unknown,General Retail,True
www.amazon.com,"I just got off the phone with Amazon, for the third time, concerning log-in issues. First time, I wa...",,Unknown,Electronics,True
www.amazon.com,Had a few deliveries from Amazon. They deliver when they say they will. Products usually match descr...,,Unknown,General Retail,False
www.amazon.com,Amazon are absolutely terrible and full of useless couriers. Three parcels this week have been left ...,,Unknown,General Retail,False
www.amazon.com,Easy to use and reliable very simple too let's just say the best...,,Unknown,General Retail,False
www.amazon.com,"Dear Sir/Madam,



I write to you in a formal capacity to seek clear and unequivocal clarification r...",,UK,Apparel,False
www.amazon.com,"Increasingly bad service, lost orders, unreliable tracking, and sub par customer service...The 'chat...",,Unknown,General Retail,False
www.amazon.com,Gutted my profile appeal system doesn't work no response from HR or Erc wasn't set up for success wa...,,Unknown,General Retail,False
www.amazon.com,"I shop on Amazon regularly. Some items have been great other not quite as advertised, however I have...",,Unknown,Apparel,False
www.amazon.com,I have been a Amazon customer for a long time. I do not know what is going on with Customer Service ...,,Unknown,General Retail,False
www.amazon.com,"I order quite a bit from Amazon. Usually on a weekly, anywhere from necessities to nonsense and spur...",300.0,Unknown,General Retail,False
www.amazon.com,nothing to see here... like amazons after sales services...,,Unknown,General Retail,False
www.amazon.com,Amazon stole my money. I ordered a pair of shoes online and then decided to cancel but it was too la...,,Canada,Apparel,True
www.amazon.com,"Amazon's service is really bad! They only ship the items after a week and a half, they employ people...",,Israel,Electronics,False
www.amazon.com,"Unfortunately, I would not even give Amazon 1 star after the recent experience I have had. 

I’m a l...",119.99,Unknown,General Retail,False
www.amazon.com,"20+ years as an Amazon customer. Thousands spent. Never an issue… until now.

In the last year:
	•	A...",,Unknown,General Retail,False
www.amazon.com,Amazon is always my go-to for whatever I need to find quickly and safely. I love the ease of the sit...,,Unknown,General Retail,False
www.amazon.com,I order gate though Amazon from this seller on 28/3/26 and was told originally I would get it by 9-1...,,Unknown,General Retail,False
www.amazon.com,Terrible company. Doesn’t reward loyalty of customers. Invite system doesn’t work here...,,Unknown,General Retail,False
www.amazon.com,"I was promised a refund by an Amazon agent. When I came back to collect it, I was told the promise w...",,Unknown,General Retail,False
www.amazon.com,"As soon as you write a negative review, uh-oh something went wrong! Drivers cannot follow simple ins...",,Unknown,General Retail,False
www.amazon.com,I ordered a computer from Amazon and had to return it because it was defective. The refund was appli...,,Unknown,Electronics,False
www.amazon.com,"Won’t deliver on time, delivery dates keep on changing for multiple products..! I don’t even know ho...",,Unknown,General Retail,False
www.amazon.com,"Amazon has made it very difficult for returns. It used to be as simple as getting  a QR code.Now, yo...",,Button,General Retail,False
www.amazon.com,I have been a loyal Amazon customer and shareholder for many years. The customer service was always ...,,Unknown,Electronics,False
www.amazon.com,Well after numerous parcel delays and incorrect information I have decided not to order any further ...,,Unknown,General Retail,False
www.amazon.com,An Amazon worker came into my house and asked if he could eat me. Of course i said yes but then he a...,,Unknown,General Retail,False
www.amazon.com,Be warned! Regularly check Amazon does not charged you for subscriptions you have not signed up to! ...,,Unknown,General Retail,False
www.amazon.com,I ordered from Amazon Now for the first time and didn’t get the entire order containing 5 different ...,,Unknown,General Retail,False
www.amazon.com,I shop frequently on Amazon and have Amazon Prime for number of years. More recently their drivers a...,,Unknown,Apparel,False
www.amazon.com,"Amazon.it richiede una verifica digitale online, poiché si avvale di un corriere che, a quanto pare,...",,Unknown,General Retail,False
www.amazon.com,I've purchased a lot from Amazon over the years but it seems they are getting worse and worse. Rarel...,,Unknown,General Retail,True
www.amazon.com,"The young woman (Klye) who helped me at Amazon on 5100 Betline  rd , had the absolute worst attitude...",,Unknown,General Retail,False
www.amazon.com,"ZXHQ 2026 Diary A5 Page a Day, Jan-Dec.

Regrettably, I find myself with a life fuller than I'd ever...",,Unknown,Electronics,False
www.amazon.com,"For the love of God, why can they not follow the delivery instructions? Every time they leave the pa...",,Plain,General Retail,True
www.amazon.com,"I have been a loyal Amazon customer for years and purchase not only small ticket items, but large ti...",,Unknown,Home Goods,False
www.amazon.com,Why oh why does Amazon allow Market Place sellers to advertise next day delivery when their courier ...,,Unknown,General Retail,False
www.amazon.com,Been ordering off amazon for several years now and spent a lot of money on amazon. Ordered tv bracke...,,Unknown,Electronics,False
www.amazon.com,The fabric is very thin than i expected for the price. The shipping took about 9 days !!...,,Unknown,General Retail,False
www.amazon.com,I am a disabled home bound Senior and I do a majority of my shopping (even groceries) through Amazon...,,Unknown,General Retail,False
www.amazon.com,"My view of Amazon is mixed. Convenient, secure, easy searches. However, Amazon will not accept hones...",,Unknown,General Retail,False
www.amazon.com,In mid-February I purchased a DeLonghi Magnifica Next coffee machine from Amazon.  My trustworthy Ne...,500.0,Alarm,General Retail,False
www.shein.com,"What is wrong with you SHEIN? I ordered a simple pair of Jeans, I paid online, I paid online  and yo...",,Unknown,General Retail,False
www.shein.com,"STOLEN ARTWORK!!
This design (Nashoba Tvshka - Wolf Warrior) is copyrighted. I find it disappointing...",,Unknown,Apparel,True
www.shein.com,I had an extremely disappointing and frustrating experience with SHEIN that I feel compelled to shar...,,Lebanon,General Retail,False
www.shein.com,I spent nearly $300 CAD on 10 outfits from Shein and was soooo dissapoi ted in the quality. Only 2 i...,300.0,Shein,General Retail,False
www.shein.com,"Don't order from there they suck, you never get your stuff you ordered ,I been waiting a min. on my ...",,Unknown,General Retail,False
www.shein.com,"The outfits were of poor quality, I'll never never recommend anyone to buy from Shein. They also mak...",,Shein,General Retail,False
www.shein.com,"Shein sells ""golden grain coffee collective"" products. Golden grain coffee collective sells astaxant...",,Unknown,General Retail,True
www.shein.com,If you need to return something never you receave your money completely back.Always they find someth...,,Unknown,General Retail,False
www.shein.com,I wasted 50 minutes this morning trying to get an address to return 3 items that did not fit I got a...,38.0,Unknown,Apparel,False
www.shein.com,Rien a redire c’est top...,,Unknown,General Retail,False
www.shein.com,I am writing this from Greece to expose SHEIN's unacceptable practices. I placed my order on April 2...,54.0,Greece,General Retail,True
www.shein.com,"I made a purchase C26030400616801, but the order never arrived. The delivery company (Colis Privé) h...",,Unknown,General Retail,False
www.shein.com,"I recently shopped on Shein and had a surprisingly good experience. The website is easy to navigate,...",,Shein,General Retail,False
www.shein.com,I love this app because it's got affordable things for all types of your life or for people who don'...,,Unknown,General Retail,False
www.shein.com,"Sending the wrong color of an item; and now I have to loose money on it. All they offer is
""Customer...",,Unknown,General Retail,False
www.shein.com,"I used to love ordering from here, but now their prices are too HIGH and they ALWAYS seem to leave i...",,Unknown,Electronics,False
www.shein.com,I love Shane because what I ordered that is what I will get and did not delay when it comes to shipp...,,Unknown,General Retail,False
www.shein.com,SHEIN gave me such great deals and even free money! It was so much fun picking out everything I want...,,Unknown,General Retail,False
www.shein.com,I received an order where multiple items were missing from the parcel. I contacted customer service ...,,Unknown,General Retail,False
www.shein.com,"It took a month for Shein to agree refund me for an item that ""got lost"" in customs. Now they say th...",,Unknown,General Retail,False
www.shein.com,I made a big order which included 3 packs of 11x14 frames. The same day of delivery I made a return ...,70.0,New York,General Retail,True
www.shein.com,I ordered 4 tops.  One never came.  Three were wrong tops.  I contacted them and they just kept sayi...,,Unknown,General Retail,True
www.shein.com,"I sended back two items which was 33€,but i never received a refund more than a month ago. I tried t...",,Unknown,General Retail,True
www.shein.com,"Shein sells ""golden grain coffee collective"" products. Golden grain coffee collective sells astaxant...",,Unknown,General Retail,True
www.shein.com,If you need to return something never you receave your money completely back.Always they find someth...,,Unknown,General Retail,False
www.shein.com,I placed an order with SHEIN that I never received. The delivery confirmation states that the parcel...,,Unknown,General Retail,True
www.shein.com,"I Like Shein, good clothes, at good price and I told my Family in Europe and NOW they order from She...",,Unknown,General Retail,False
www.shein.com,I ordered items and it was delivered to the neighboor accdg to the notification but thiers no specif...,,Unknown,Apparel,False
www.shein.com,I purchased several orders worth more than $300. When I tried to return five items from two separate...,300.0,Unknown,General Retail,False
www.shein.com,"I recently shopped on Shein and had a surprisingly good experience. The website is easy to navigate,...",,Shein,General Retail,False
www.shein.com,"I write this in english so other nationalities can understand.
Loyal customers are theated with disg...",,Unknown,General Retail,False
www.shein.com,"This is absolutely rubbish, worst and useless. This is a fraud brand. Even after taking payment and ...",,Unknown,Electronics,True
www.shein.com,"My order placed on 25 February was never delivered, and after months of contacting Shein (over 10 ti...",,Shein,Electronics,True
www.shein.com,Shein is a terrible company. They make it impossible to contact them. In our case they printed the w...,,Unknown,General Retail,False
www.shein.com,Sick to death of trying to stop Shein from contacting me. I DO NOT WANT TO BUY ANYTHING FROM THEM. I...,,Unknown,General Retail,False
www.shein.com,"Have just recieved a damaged shower head where the package has been broken or hit.

When I contact c...",,Unknown,General Retail,False
www.shein.com,Shein said the item got delivered and attached proof of delivery which is a different property to mi...,,Unknown,Electronics,False
www.shein.com,We ordered something on their website and the website said that it was 20 x 40 Tent and then they se...,,Unknown,General Retail,False
www.shein.com,SHEIN gave me such great deals and even free money! It was so much fun picking out everything I want...,,Unknown,General Retail,False
www.shein.com,"The product quality is excellent, and I find everything I need. Thank you!...",,Unknown,General Retail,False
www.shein.com,I like how there lots of stuff on Their but the prices are going up and I ordered a bin for my room ...,2.0,Unknown,General Retail,False
www.shein.com,They said package was delivered but I have not received it. Carrier (Fedex) sent photo of package on...,,Shein,General Retail,False
www.shein.com,You people have just put my checking account in the red you have been told not to take any money out...,,Unknown,General Retail,False
www.shein.com,"I placed my first order in March, 5 of the items were too big so I returned them on March 31, 2026. ...",,Shein,General Retail,False
www.shein.com,Massive range of selection but the only thing I didn’t like was the pop ups of points I have ordered...,,Unknown,General Retail,False
www.shein.com,"Before placing an order, the delivery date shows April 13–15. After ordering, it was delayed to Apri...",,Unknown,General Retail,False
www.shein.com,"I ordered £43 worth of items from this company, and they marked it as “received” when nothing arrive...",43.0,Unknown,General Retail,False
www.shein.com,"Shein sells ""golden grain coffee collective"" products. Golden grain coffee collective sells astaxant...",,Unknown,General Retail,True
www.shein.com,If you need to return something never you receave your money completely back.Always they find someth...,,Unknown,General Retail,False
www.shein.com,I returned an item to SHEIN and this situation has been going on for over one and a half months with...,,Unknown,General Retail,False
www.shein.com,"I ordered from shein, it said thay it was delivered in my community mailbox, I checked 3 times just ...",,Unknown,General Retail,False
www.shein.com,"I recently shopped on Shein and had a surprisingly good experience. The website is easy to navigate,...",,Shein,General Retail,False
www.shein.com,"Bought two simulated hand, neck massagers.  One works fine but the other stopped charging within a m...",,Unknown,General Retail,False
www.shein.com,I pay immediately. I get a fake shipping number and it showed as delivered but they cant provide a p...,,Unknown,General Retail,True
www.shein.com,"I place a order and was told it was delivered. The day the say it was delivered, I was home all day ...",,Unknown,General Retail,True
www.shein.com,"I called them to solve the below problem

I made 1x order, it came to me in 3x parcels. Now I want t...",,Unknown,General Retail,False
www.shein.com,My package was stolen and they refused to do anything about it after I contacted them and investigat...,,Unknown,Apparel,True
www.shein.com,"I ordered two things from Shein over a month ago. The first item was sent to the wrong address, whic...",,Shein,Apparel,True
www.shein.com,If I could give it 0 stars I would. I dropped over $500 on clothes for my family. Ive had an experie...,500.0,Unknown,Apparel,True
www.shein.com,"While prices are great, it's next to impossible to reach customer service, and their return policy i...",,Unknown,Apparel,False
www.shein.com,SHEIN gave me such great deals and even free money! It was so much fun picking out everything I want...,,Unknown,General Retail,False
www.shein.com,I never recieved my parcel and dealing with their customer service was the most frustrating experien...,120.0,Unknown,Apparel,False
www.shein.com,"I like the style, but the fabric feels a bit cheap compared to the photos online...",,Unknown,General Retail,False
www.shein.com,"Don't buy anything from his company. Even if the quality of the items would be good, then they simpl...",,Unknown,General Retail,False
www.shein.com,"I had an order marked as delivered on April 05, 2026  that I never received I immediately contacted ...",,number(8314,Apparel,True
www.shein.com,"I've returned two parcels to shein 
Have the return reference and states they have arrived 
This is ...",,Unknown,General Retail,False
books.toscrape.com,Standard transaction baseline (non-review data),51.77,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),53.74,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),50.1,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),47.82,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),54.23,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),22.65,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),33.34,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),17.93,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),22.6,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),52.15,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),13.99,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),20.66,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),17.46,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),52.29,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),35.02,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),57.25,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),23.88,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),37.59,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),51.33,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),45.17,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),12.84,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),37.32,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),30.52,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),25.27,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),34.53,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),54.64,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),22.5,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),53.13,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),40.3,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),44.18,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),17.66,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),31.05,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),23.82,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),36.89,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),15.94,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),33.29,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),18.02,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),19.63,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),52.22,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),33.63,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),57.31,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),26.41,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),47.61,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),23.11,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),45.07,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),31.77,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),50.27,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),14.27,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),44.18,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),18.78,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),25.52,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),16.28,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),31.12,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),19.49,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),17.27,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),19.09,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),56.13,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),56.41,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),56.5,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),45.22,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),38.16,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),54.11,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),42.96,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),23.89,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),16.77,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),20.59,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),37.13,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),56.06,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),58.11,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),49.05,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),40.76,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),19.73,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),32.24,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),41.83,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),39.58,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),39.25,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),25.02,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),51.04,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),19.83,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),50.4,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),13.61,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),13.34,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),18.97,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),36.28,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),10.16,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),15.44,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),48.41,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),46.35,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),14.07,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),14.86,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),33.37,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),56.4,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),14.02,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),46.91,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),45.61,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),19.92,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),40.11,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),53.9,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),35.67,UK (Primary Warehouse),Books & Media,False
books.toscrape.com,Standard transaction baseline (non-review data),22.0,UK (Primary Warehouse),Books & Media,False
